lipid	pheno	pval	beta	std	fdr_pval
PE(17:0_18:2)	ADA2010_Cat	9.893927558843016e-12	0.0711325245185063	0.0103929221550852	2.0029170423999277e-10
PE(17:0_20:4)	ADA2010_Cat	0.0914364556386685	0.0170729104019723	0.0101107082021035	0.144832553778807
PE(17:0_22:6)	ADA2010_Cat	0.0015179522377368	0.0452093609920055	0.014238438097575	0.004064194701037239
PE(18:0_18:1)	ADA2010_Cat	5.813388461424957e-05	0.0371995643328991	0.009235232547073	0.0002203247681727267
PE(18:0_18:2)	ADA2010_Cat	2.5822222775468297e-08	0.0427555496890411	0.007651781996981	1.9844856392258046e-07
PE(18:0_20:3) (a)	ADA2010_Cat	0.2019092421523864	0.0126155562114053	0.0098828734021135	0.2778733566135005
PE(18:0_20:3) (b)	ADA2010_Cat	4.371577023630568e-06	-0.0421532848537725	0.0091552349507018	2.0270440947560733e-05
PE(18:0_20:4)	ADA2010_Cat	0.0508921854160015	-0.0144878777509694	0.0074165932997665	0.09006506161040777
PE(18:0_22:4)	ADA2010_Cat	0.3906145659528078	-0.0075299124761595	0.0087692687113639	0.4831745003589128
PE(18:0_22:5) (n3)	ADA2010_Cat	0.3742724618153236	0.007794336183042	0.0087707182489454	0.4650391366867045
PE(18:0_22:5) (n6)	ADA2010_Cat	0.8102916087819728	-0.0035201279572595	0.0146624159134022	0.8470302711448834
PE(18:0_22:6)	ADA2010_Cat	0.0001114660085239	0.0396672937256713	0.0102470789955901	0.0003953708849352009
PE(18:1_18:1)	ADA2010_Cat	0.0027820090313451	0.0359209093618479	0.0119968790085366	0.007018442237132014
PE(18:1_18:2)	ADA2010_Cat	5.288396735344656e-19	0.0876963144656985	0.0097583279840137	5.48671161292008e-17
PE(18:1_22:6) (a)	ADA2010_Cat	6.475005940358544e-12	0.0785219811356889	0.0113700397545111	1.425264710711498e-10
PE(18:1_22:6) (b)	ADA2010_Cat	0.0018801470986914	0.0539139681977109	0.0173231062257116	0.004876631537230819
PE(20:0_20:4)	ADA2010_Cat	4.4263150981177797e-11	-0.0893045845318585	0.0134860634604956	7.203610845956386e-10
PE(36:0)	ADA2010_Cat	0.9435322377922252	0.0011209020889447	0.015823233215625	0.9585730222882164
PE(38:5) (a)	ADA2010_Cat	0.0002380568265455	0.0330325427504154	0.0089743842173113	0.0007871998646723705
PE(38:5) (b)	ADA2010_Cat	0.0532432945971556	0.0208590517774362	0.0107856195456395	0.0938257633028432
PE(O-16:0/18:2)	ADA2010_Cat	9.551491236197295e-07	-0.0700663901897992	0.0142572707075953	5.356579544624158e-06
PE(O-16:0/20:3)	ADA2010_Cat	7.965088790884305e-09	-0.0891971271000283	0.0154015650853247	7.185895322210841e-08
PE(O-16:0/20:4)	ADA2010_Cat	1.663801485417561e-11	-0.0908353050009223	0.0134213847981876	3.0020765932534256e-10
PE(O-16:0/22:4)	ADA2010_Cat	0.000497914829035	-0.0377513207778854	0.0108262948234732	0.0015420496570860075
PE(O-16:0/22:6)	ADA2010_Cat	6.502665322937403e-07	-0.0506364428718417	0.0101474730602214	3.8008536746746793e-06
PE(O-18:0/20:4)	ADA2010_Cat	1.0066449960219096e-06	-0.0822818137281878	0.0167784353013424	5.570102311321233e-06
PE(O-18:0/22:5)	ADA2010_Cat	0.957210120481057	0.0005866833723682	0.0109331582324091	0.9688834146332651
PE(O-18:0/22:6)	ADA2010_Cat	0.0745000568889421	-0.0180130917115237	0.0100949530822761	0.1221823359178877
PE(O-18:1/18:2)	ADA2010_Cat	0.0412378146974213	-0.0231075712787883	0.0113144109710804	0.07489581225133408
PE(O-18:1/22:6)	ADA2010_Cat	1.4987850239472554e-05	-0.0481833774267293	0.0111061000264577	6.128037290030651e-05
PE(O-34:1)	ADA2010_Cat	0.8442916517338644	0.0018661592781653	0.0095003870431447	0.8737681682532513
PE(O-36:5)	ADA2010_Cat	0.0019494050361735	-0.059761049568436	0.0192683314962936	0.005040517694778831
PE(O-38:5) (a)	ADA2010_Cat	1.194025756533784e-06	-0.0549473729895824	0.0112827371959951	6.5200090652831635e-06
PE(O-38:5) (b)	ADA2010_Cat	5.392660472175507e-10	-0.0725892898195091	0.0116425444027534	6.394154559865244e-09
PE(P-15:0/20:4) (a)	ADA2010_Cat	0.2347327954711431	0.032938695304157	0.0277127224842839	0.31607680269540134
PE(P-15:0/20:4) (b)	ADA2010_Cat	0.9166301938336818	-0.0023171954035902	0.0221336051128469	0.9369495823669408
PE(P-15:0/22:6) (a)	ADA2010_Cat	0.6780356213894652	-0.0094073373972265	0.0226573783832122	0.7503594210043414
PE(P-15:0/22:6) (b)	ADA2010_Cat	0.568798583139178	-0.010864616044466	0.0190638612656955	0.6502014244526562
PE(P-16:0/18:1)	ADA2010_Cat	0.0001239805147741	0.0304351507160632	0.0079157295510593	0.00043788862664894887
PE(P-16:0/18:2)	ADA2010_Cat	1.9161811182640832e-07	0.0553202704415052	0.0105901626618212	1.2723442625273512e-06
PE(P-16:0/18:3)	ADA2010_Cat	0.0264315254441014	0.0426834680194008	0.0192156431765092	0.051257397473374204
PE(P-16:0/20:3) (a)	ADA2010_Cat	0.0933413377625578	0.0223330140565057	0.0133033802905792	0.147287662248903
PE(P-16:0/20:3) (b)	ADA2010_Cat	0.5948468096269748	0.0071898324413144	0.013517211836785	0.6744847704786736
PE(P-16:0/20:4)	ADA2010_Cat	0.0544212708626831	-0.0182879490708491	0.0095027916583174	0.09569842122039612
PE(P-16:0/20:5)	ADA2010_Cat	0.0970704869779894	0.0253480776689331	0.0152706349750367	0.15201604564477586
PE(P-16:0/22:4)	ADA2010_Cat	8.580073074925676e-08	-0.0428298218984748	0.0079722868278658	6.035136145922297e-07
PE(P-16:0/22:5) (n3)	ADA2010_Cat	0.2030696343505356	0.0121465292425789	0.0095399448566453	0.2785913991916439
PE(P-16:0/22:5) (n6)	ADA2010_Cat	0.0006207326408724	-0.0430112459182068	0.012549705148152	0.001853266517712561
PE(P-16:0/22:6)	ADA2010_Cat	0.256050183298591	0.0083169488526845	0.0073208204549032	0.3422248826696144
PE(P-17:0/20:4) (a)	ADA2010_Cat	0.1248298961460081	0.0214750600559739	0.0139867150675732	0.18567887777990452
PE(P-17:0/20:4) (b)	ADA2010_Cat	0.1014425613934425	0.0156074610428735	0.0095250140154064	0.15737817935805098
PE(P-17:0/22:6) (a)	ADA2010_Cat	0.0387204090149492	0.0251035799319403	0.0121369018217633	0.07094467876911223
PE(P-17:0/22:6) (b)	ADA2010_Cat	3.4129948953139644e-05	0.0420437550182892	0.0101250376649314	0.00013425524943652087
PE(P-18:0/18:1)	ADA2010_Cat	5.3309269260783375e-28	0.0924885753561815	0.0083167073256905	4.42466934864502e-25
PE(P-18:0/18:2)	ADA2010_Cat	1.7118160211189452e-20	0.0826556298442486	0.008821071285138	2.841614595057449e-18
PE(P-18:0/18:3)	ADA2010_Cat	2.839156043407424e-07	0.0700627937625668	0.0136054770220713	1.8126919354062784e-06
PE(P-18:0/20:3) (a)	ADA2010_Cat	2.7244522750692917e-05	0.0524624774990409	0.0124788390272184	0.00010819595159366087
PE(P-18:0/20:3) (b)	ADA2010_Cat	0.0145505646327043	0.0283306006912423	0.0115858028982426	0.03049739556854689
PE(P-18:0/20:4)	ADA2010_Cat	0.4156188233050536	0.0060527338100917	0.0074339890078086	0.5058117644328365
PE(P-18:0/20:5)	ADA2010_Cat	0.001582808384225	0.0419672569457274	0.0132684011735911	0.004197223510884186
PE(P-18:0/22:4)	ADA2010_Cat	1.3081793457507657e-05	-0.0342922647267316	0.0078498594574777	5.4019346118066444e-05
PE(P-18:0/22:5) (n3)	ADA2010_Cat	0.0393484350026451	0.0183252037182439	0.008888238244201	0.07185839124350209
PE(P-18:0/22:5) (n6)	ADA2010_Cat	0.1281309826987423	-0.01967193518672	0.0129243844139417	0.18923259010668345
PE(P-18:0/22:6)	ADA2010_Cat	6.683173324871625e-09	0.0459829640682173	0.0078991262085413	6.163370955159387e-08
PE(P-18:1/18:1) (a)	ADA2010_Cat	2.2770022404297662e-08	0.0524346764109346	0.0093470167653234	1.7662727659408464e-07
PE(P-18:1/18:1) (b)	ADA2010_Cat	2.2080956052561105e-12	0.0921809245399443	0.0130560061008518	5.390351036360505e-11
PE(P-18:1/18:2) (a)	ADA2010_Cat	7.983454745450302e-10	0.0614742777244861	0.009960107168984	8.718772945689146e-09
PE(P-18:1/18:2) (b)	ADA2010_Cat	1.0424455123826835e-11	0.0969622055848401	0.0141826355531529	2.0600708935181603e-10
PE(P-18:1/20:3) (a)	ADA2010_Cat	0.7878190494357964	0.0037033972804816	0.0137582685019857	0.8319208791752049
PE(P-18:1/20:3) (b)	ADA2010_Cat	0.0399581672353229	0.0264014677678531	0.0128450338517361	0.07273087457306582
PE(P-18:1/20:4) (a)	ADA2010_Cat	0.7644651917293908	0.0032241264123028	0.0107593178903422	0.8208358462294881
PE(P-18:1/20:4) (b)	ADA2010_Cat	0.0322116828993283	0.0263953640416206	0.0123163509093797	0.06047606176007265
PE(P-18:1/20:5) (a)	ADA2010_Cat	0.0641512334913154	0.030201326906419	0.0163070065269899	0.10822260934510525
PE(P-18:1/20:5) (b)	ADA2010_Cat	0.0017704453220274	0.0680270705030548	0.0217336172383831	0.004635550843163224
PE(P-18:1/22:4)	ADA2010_Cat	0.0064703979190863	-0.0245566753341373	0.0090099415706563	0.01463332499411888
PE(P-18:1/22:5) (a)	ADA2010_Cat	9.098600756471624e-05	0.0383349520163338	0.0097777822599343	0.00032834080990745424
PE(P-18:1/22:5) (b)	ADA2010_Cat	0.0609889365702597	-0.0230556129310869	0.0122994555443531	0.10394418347703399
PE(P-18:1/22:6) (a)	ADA2010_Cat	0.0014478397653136	0.0278741119330666	0.008740920438365	0.003889019434337502
PE(P-18:1/22:6) (b)	ADA2010_Cat	1.0004035567405223e-06	0.0618082632090025	0.0126004155151464	5.570102311321233e-06
PE(P-19:0/20:4) (a)	ADA2010_Cat	0.045955378778291	-0.0316436127424485	0.0158462253844383	0.08185185490553976
PE(P-19:0/20:4) (b)	ADA2010_Cat	0.0648641756242209	0.0188188660326743	0.0101883003624627	0.10898231936863023
PE(P-20:0/18:1)	ADA2010_Cat	4.3445239549742975e-25	0.1178452641625769	0.0112523228454492	1.8029774413143332e-22
PE(P-20:0/18:2)	ADA2010_Cat	6.172113728349363e-20	0.1092441550811024	0.0118375743968579	8.538090657549952e-18
PE(P-20:0/20:4)	ADA2010_Cat	0.1570119424127195	0.0131018282153251	0.0092548652183895	0.2254669761289917
PE(P-20:0/22:6)	ADA2010_Cat	5.103782082342872e-11	0.0767215375715046	0.0116235977880254	8.146421400662661e-10
PE(P-20:1/20:4)	ADA2010_Cat	0.7446755383369306	-0.0039370347963947	0.0120876062238508	0.8027022036618862
PE(P-20:1/22:6)	ADA2010_Cat	0.0613586654001563	0.0259759132647812	0.0138771640268964	0.10421877335041377
LPE(16:0) [sn1]	ADA2010_Cat	0.0002518846409195	0.032828724015726	0.0089543052684989	0.0008296200474729563
LPE(16:0) [sn2]	ADA2010_Cat	0.0001044716733145	0.0378747695913964	0.0097440701127087	0.00037215231266538625
LPE(17:0)	ADA2010_Cat	0.094756008171539	0.0236558966138952	0.0141521873006802	0.14895357345147228
LPE(18:0) [sn1]	ADA2010_Cat	0.0002729761377802	0.0279705227268881	0.0076726163030992	0.0008955343650496678
LPE(18:0) [sn2]	ADA2010_Cat	0.0008524151070767	0.0267905381578083	0.008021778954779	0.0024737920939638496
LPE(18:1) [sn1]	ADA2010_Cat	3.5028130447311934e-12	0.0668242724006042	0.0095537072624007	8.075930075352474e-11
LPE(18:1) [sn2]	ADA2010_Cat	3.5028840317074257e-10	0.0629279865975774	0.0099834884476835	4.424955015126708e-09
LPE(18:2) [sn1]	ADA2010_Cat	0.0028473086102047	0.0335938794249629	0.0112464187444667	0.007161412565060306
LPE(18:2) [sn2]	ADA2010_Cat	0.0008327929362453	0.0364267506926616	0.0108859382910492	0.0024338666798718275
LPE(20:4) [sn1]	ADA2010_Cat	0.1605325110650142	0.0141945708676325	0.0101118944294027	0.22972755893786515
LPE(20:4) [sn2]	ADA2010_Cat	0.139087368711234	0.0137897065798459	0.0093190898457972	0.2032438662505708
LPE(22:6) [sn1]	ADA2010_Cat	0.1264242387905298	0.0183468354542512	0.0119998092001203	0.18725956802794386
LPE(22:6) [sn2]	ADA2010_Cat	0.0135661669420626	0.0292202015375692	0.0118275806844388	0.028506122941549264
LPE(P-16:0)	ADA2010_Cat	0.8170415166713934	-0.0033105745935047	0.0143080103670289	0.8516769200720197
LPE(P-18:0)	ADA2010_Cat	0.2754399337597277	0.0136547968654358	0.0125171382144331	0.36403685512830253
LPE(P-18:1)	ADA2010_Cat	0.7762345280757749	0.0047888133156655	0.0168463645589718	0.8274507377847601
LPE(P-20:0)	ADA2010_Cat	0.0010283292827642	0.045985899888237	0.0139902511221287	0.0028355923743996216
PI (38:5) (b)	ADA2010_Cat	0.0889476280397058	-0.0237974630312806	0.0139843776580245	0.1414997532730206
PI(15-MHDA_18:1)/PI(17:0_18:1)	ADA2010_Cat	0.8045302684710125	0.003630733761336	0.0146685744661161	0.8420682507325856
PI(15-MHDA_18:2)/PI(17:0_18:2)	ADA2010_Cat	0.1503463752347964	0.0179273757026833	0.0124599163619596	0.217021724251967
PI(15-MHDA_20:4)\PI(17:0_20:4)	ADA2010_Cat	0.0601819282238712	-0.0200157999910689	0.0106443613206652	0.10277983626710514
PI(16:0/16:0)	ADA2010_Cat	0.7861730623947113	0.0048775333086587	0.0179773119375624	0.8312403080096947
PI(16:0_16:1)	ADA2010_Cat	0.016215689622608	-0.0356956943000575	0.0148370281774171	0.033397077882790664
PI(16:0_20:3) (a)	ADA2010_Cat	0.1205226310360241	-0.0175413248342905	0.0112938332339485	0.18042305737287442
PI(16:0_20:3) (b)	ADA2010_Cat	0.0026455646938995	-0.0363022845569551	0.0120623233473116	0.006694569194928613
PI(16:0_20:4)	ADA2010_Cat	6.911362543442855e-05	-0.038991092800308	0.0097799585757753	0.00025839778878637703
PI(18:0_18:1)	ADA2010_Cat	0.2872685035067125	-0.0138620339546965	0.0130234877343012	0.3784648538263038
PI(18:0_20:2)	ADA2010_Cat	0.2936053826072846	-0.013149543710006	0.0125175003135894	0.3849802015229798
PI(18:0_20:3) (a)	ADA2010_Cat	0.0047870824771469	-0.0381731335900031	0.0135180826145498	0.011319881641116601
PI(18:0_20:3) (b)	ADA2010_Cat	0.0051045367845099	-0.0388269542871738	0.013851241446164	0.011968264212268976
PI(18:0_20:4)	ADA2010_Cat	0.1360371723853591	-0.0120629303144443	0.0080891387259691	0.19913730701913235
PI(18:0_22:4)	ADA2010_Cat	0.930161669034752	0.000923884625514	0.0105404517289655	0.9472812089556369
PI(18:0_22:5) (n3)	ADA2010_Cat	0.7794655670704065	-0.003334270530263	0.0119060084496662	0.8274507377847601
PI(18:0_22:5) (n6)	ADA2010_Cat	6.817596853047452e-07	-0.0746144716744018	0.0149803932048412	3.957066704915654e-06
PI(18:0_22:6)	ADA2010_Cat	0.0010599637455365	-0.0397799780015227	0.0121339158257676	0.002903531052129687
PI(18:1_18:2)	ADA2010_Cat	0.2654244593652241	-0.0124667560955683	0.0111915758986415	0.3525643164913177
PI(20:0_20:4)	ADA2010_Cat	2.1294061047064398e-08	-0.0710039497529577	0.0126307218418952	1.70941436958188e-07
PI(34:0)	ADA2010_Cat	0.5460205590460876	0.0122138799736124	0.0202274745541557	0.6276967645543666
PI(34:1)	ADA2010_Cat	0.0769243623041068	-0.0196415364800866	0.0110991954053224	0.12519062884786009
PI(36:2)	ADA2010_Cat	0.8015663799985318	0.0026810975247684	0.0106667735377203	0.8400253729782593
PI(37:6)	ADA2010_Cat	0.0002254036369699	-0.073785732889358	0.0199704509337329	0.0007574292254454129
PI(38:5) (a)	ADA2010_Cat	1.7942043024923738e-07	-0.0471167281596458	0.0089985249019497	1.2009593315069922e-06
PI(38:6)	ADA2010_Cat	3.2970260944946905e-06	-0.0591090633919981	0.0126756008226398	1.60031091136292e-05
PI(39:6)	ADA2010_Cat	0.0089487799701819	-0.0507171225670679	0.019385048419996	0.019494717520343773
PIP1(38:4)	ADA2010_Cat	2.1134138225513278e-11	-0.0848466173259646	0.0126024684362084	3.6544447348283377e-10
LPI(18:0)	ADA2010_Cat	0.0272824295702519	0.0248656922973681	0.0112570138796883	0.05241763088728953
LPI(18:1) [sn1]	ADA2010_Cat	3.211673631311305e-09	0.1001791584551394	0.016852704756942	3.173439421414742e-08
LPI(18:1) [sn2]	ADA2010_Cat	1.110184154335804e-05	0.0869725038833887	0.0197460987642391	4.799233583847486e-05
LPI(18:2) [sn1]	ADA2010_Cat	1.6340996214277998e-12	0.116077118610714	0.0163418265161082	4.5210089526169127e-11
LPI(18:2) [sn2]	ADA2010_Cat	1.8449881277640239e-09	0.0929910621940649	0.0154060804689752	1.8905433901779504e-08
LPI(20:4) [sn1]	ADA2010_Cat	2.0178555522016903e-15	0.0954995419354942	0.0119410569058192	1.1963000773767163e-13
LPI(20:4) [sn2]	ADA2010_Cat	8.917538869889077e-08	0.0605974961731858	0.011294356716873	6.167964385006612e-07
